Ticket Number,Issue Date,Violation,Location,Amount
8191118165,43320,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8191118530,43321,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST NW EAST SIDE,200
8191131126,43322,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8193557363,43322,FAIL DISP MULTI RCPT,0 BLOCK 7TH ST SW EAST SIDE,100
8193625436,43326,EXPIRED METER,600 BLOCK MARYLAND AVE SW NORTH*,60
8193516192,43328,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST NW EAST SIDE,200
8193626011,43327,FAIL DISP MULTI RCPT,0 BLOCK 7TH ST NW EAST SIDE,100
8193701736,43329,NO PARKING ANYTIME,UNIT BLOCK 7TH ST NW EAST SIDE,60
8193701784,43329,FAIL DISP MULTI RCPT,UNIT BLOCK 7TH ST NW EAST SIDE,100
8193751602,43329,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8191117546,43307,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST NW EAST SIDE,200
8192137660,43308,FAIL DISP MULTI RCPT,100 BLOCK 3RD ST SW WEST SIDE,100
8192125336,43309,NO STANDING ANYTIME,100 BLOCK 7TH ST SW EAST SIDE,100
8192217832,43308,FAIL DISP MULTI RCPT,0 BLOCK 7TH ST NW EAST SIDE,100
8192482815,43312,EXPIRED METER,600 BLOCK MARYLAND AVE SW SOUTH*,60
8191129144,43314,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8192139303,43314,FAIL DISP MULTI RCPT,100 BLOCK 7TH ST SW WEST SIDE,100
8191129542,43315,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8191124395,43315,FAIL DISP MULTI RCPT,UNIT BLOCK 7TH ST NW EAST SIDE,100
8192219781,43314,FAIL DISP MULTI RCPT,0 BLOCK 7TH ST NW EAST SIDE,100
8190505164,43294,NO TAGS FRONT.,100 BLOCK 7TH ST SW WEST SIDE,100
8191199236,43294,FAIL DISP MULTI RCPT,600 BLOCK JEFFERSON DR SW NORTH*,100
8191199483,43294,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8190787846,43299,NO STP/STND PM RUSH,200 BLOCK 6TH ST SW EAST SIDE,200
8189264252,43300,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST NW EAST SIDE,200
8191439675,43301,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
8191439981,43301,FAIL DISP MULTI RCPT,UNIT BLOCK 7TH ST SW EAST SIDE,100
8192515516,43302,NO PARKING ANYTIME,UNIT BLOCK 7TH ST NW WEST SIDE,60
8189379612,43306,STOP/STND IN AM RUSH,UNIT BLOCK 7TH ST SW EAST SIDE,200
